index,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
diallha01,Hamidou Diallo,2019,2020,G,6-5,202,"July 31, 1998",Kentucky
diawbo01,Boris Diaw,2004,2017,F-C,6-8,250,"April 16, 1982",
diawaya01,Yakhouba Diawara,2007,2010,G-F,6-7,225,"August 29, 1982",Pepperdine
diazgu01,Guillermo Díaz,2008,2008,G,6-2,192,"March 4, 1985",Miami (FL)
dickada01,Dan Dickau,2003,2008,G,6-0,190,"September 16, 1978","Washington, Gonzaga"
dickeka01,Kaniel Dickens,2004,2008,F,6-8,215,"July 21, 1978","Tyler Junior College, Idaho"
dickehe01,Henry Dickerson,1976,1977,G,6-4,190,"November 27, 1951",University of Charleston
dickemi01,Michael Dickerson,1999,2003,G-F,6-5,190,"June 25, 1975",Arizona
dickecl01,Clyde Dickey,1975,1975,G,6-3,185,"December 14, 1951",Boise State
dickede01,Derrek Dickey,1974,1978,F,6-7,218,"March 20, 1951",Cincinnati
dickedi01,Dick Dickey,1952,1952,G,6-1,175,"October 26, 1926",NC State
dicksjo01,John Dickson,1968,1968,C,6-10,240,"November 18, 1945",Arkansas State University
dienetr01,Travis Diener,2006,2010,G,6-1,175,"March 1, 1982",Marquette
dienggo01,Gorgui Dieng,2014,2020,C,6-10,252,"January 18, 1990",Louisville
dierkco01,Connie Dierking,1959,1971,C-F,6-9,222,"October 2, 1936",Cincinnati
dietrco01,Coby Dietrick,1971,1983,C-F,6-10,220,"July 23, 1948",San Jose State
dillcr01,Craig Dill,1968,1968,C,6-11,215,"December 17, 1944",Michigan
dilladw01,Dwaine Dillard,1976,1976,F,6-6,230,"March 9, 1949",Eastern Michigan
dillami01,Mickey Dillard,1982,1982,G,6-3,170,"October 15, 1958",Florida State
dillebo01,Bob Dille,1947,1947,F,6-3,190,"July 2, 1917",Valparaiso
dilloho01,Hook Dillon,1950,1950,F,6-3,180,"January 8, 1924",UNC
dinkiby01,Byron Dinkins,1990,1991,G,6-1,170,"June 15, 1967",UNC Charlotte
dinkija01,Jackie Dinkins,1972,1972,F,6-5,210,"January 22, 1950",Voorhees College
dinneha01,Harry Dinnel,1968,1968,F-G,6-4,200,"October 9, 1940",Pepperdine
dinwibi01,Bill Dinwiddie,1968,1972,F,6-7,220,"July 15, 1943",New Mexico Highlands University
dinwisp01,Spencer Dinwiddie,2015,2020,G,6-5,215,"April 6, 1993",Colorado
dioguik01,Ike Diogu,2006,2012,F,6-8,250,"September 11, 1983",Arizona State
diopde01,DeSagana Diop,2002,2013,C,7-0,300,"January 30, 1982",
dischte01,Terry Dischinger,1963,1973,F-G,6-7,189,"November 21, 1940",Purdue
diutefr01,Fred Diute,1955,1955,G,6-3,210,"January 9, 1929",St. Bonaventure
divacvl01,Vlade Divac*,1990,2005,C,7-1,243,"February 3, 1968",
dixonju01,Juan Dixon,2003,2009,G,6-3,164,"October 9, 1978",Maryland
doddea01,Earl Dodd,1950,1950,F,6-5,175,"November 1, 1924",Truman State University
doleami01,Michael Doleac,1999,2008,C,6-11,262,"June 15, 1977",Utah
dolhojo01,Joe Dolhon,1950,1951,G,6-0,175,"July 9, 1927",NYU
dollbo01,Bob Doll,1947,1950,F-C,6-5,195,"August 10, 1919",Colorado
donalja01,James Donaldson,1981,1995,C,7-2,275,"August 16, 1957",Washington State
doncilu01,Luka Dončić,2019,2020,G-F,6-7,218,"February 28, 1999",
donhabo01,Bob Donham,1951,1954,G-F,6-2,190,"October 11, 1926",Ohio State
donovbi01,Billy Donovan,1988,1988,G,5-11,171,"May 30, 1965",Providence
donovha01,Harry Donovan,1950,1950,G,6-2,180,"September 10, 1926",Muhlenberg College
doolike01,Keyon Dooling,2001,2013,G,6-3,196,"May 8, 1980",Missouri
djordal01,Aleksandar Đorđević,1997,1997,G,6-2,198,"August 26, 1967",
dorseja01,Jacky Dorsey,1978,1981,F,6-7,230,"December 18, 1954",Georgia
dorsejo01,Joey Dorsey,2009,2015,F,6-8,268,"December 16, 1983",Memphis
dorsero01,Ron Dorsey,1972,1972,F,6-4,200,"October 10, 1948",Tennessee State
dorsety01,Tyler Dorsey,2018,2019,G,6-5,183,"February 18, 1996",Oregon
dortlu01,Luguentz Dort,2020,2020,G,6-3,215,"April 19, 1999",Arizona State
dotsoda01,Damyean Dotson,2018,2020,G,6-5,202,"May 6, 1994","Oregon, Houston"
doubyqu01,Quincy Douby,2007,2009,G,6-3,175,"May 16, 1984",Rutgers University
douglbr01,Bruce Douglas,1987,1987,G,6-3,195,"April 9, 1964",Illinois
dougljo01,John Douglas,1982,1983,G,6-2,170,"June 12, 1956",Kansas
douglle01,Leon Douglas,1977,1983,C-F,6-10,230,"August 26, 1954",Alabama
douglsh01,Sherman Douglas,1990,2001,G,6-0,180,"September 15, 1966",Syracuse
douglto01,Toney Douglas,2010,2017,G,6-2,195,"March 16, 1986","Auburn, Florida State"
douglch01,Chris Douglas-Roberts,2009,2015,G,6-7,200,"January 8, 1987",Memphis
doumbse01,Sekou Doumbouya,2020,2020,F,6-8,209,"December 23, 2000",
doveso01,Sonny Dove,1968,1972,F,6-7,198,"August 16, 1945",St. John's
doverje01,Jerry Dover,1972,1972,G,5-7,155,"October 16, 1949",LeMoyne-Owen College
dowdeza01,Zabian Dowdell,2011,2011,G,6-3,191,"September 10, 1984",Virginia Tech
downebi01,Bill Downey,1948,1948,C,6-6,210,"November 11, 1923",Marquette
downist01,Steve Downing,1974,1975,C,6-8,225,"September 9, 1950",Indiana
doyleda01,Danny Doyle,1963,1963,F,6-8,200,"February 6, 1940",Belmont Abbey College
doylemi01,Milton Doyle,2018,2018,G,6-4,185,"October 31, 1993",Loyola Chicago
doziepj01,PJ Dozier,2018,2020,G,6-6,205,"October 25, 1996",South Carolina
doziete01,Terry Dozier,1990,1990,F,6-9,210,"June 29, 1966",South Carolina
dragigo01,Goran Dragić,2009,2020,G,6-3,190,"May 6, 1986",
dragizo01,Zoran Dragić,2015,2015,G-F,6-5,200,"June 22, 1989",
dreilgr01,Greg Dreiling,1987,1997,C,7-1,250,"November 7, 1962","Wichita State, Kansas"
drewbr01,Bryce Drew,1999,2004,G,6-2,185,"September 21, 1974",Valparaiso
drewjo01,John Drew,1975,1985,F-G,6-6,205,"September 30, 1954",Gardner-Webb University
drewla01,Larry Drew,1981,1991,G,6-1,170,"April 2, 1958",Missouri
drewla02,Larry Drew,2015,2018,G,6-2,180,"March 5, 1990","UNC, UCLA"
drexlcl01,Clyde Drexler*,1984,1998,G,6-7,210,"June 22, 1962",Houston
driggna01,Nate Driggers,1997,1997,G,6-5,215,"October 12, 1973",University of Montevallo
driscte01,Terry Driscoll,1971,1975,F,6-7,215,"August 28, 1947",Boston College
drobnpr01,Predrag Drobnjak,2002,2005,C,6-11,270,"October 27, 1975",
drollra01,Ralph Drollinger,1981,1981,C,7-2,250,"April 20, 1954",UCLA
drumman01,Andre Drummond,2013,2020,C,6-10,279,"August 10, 1993",UConn
duvalde01,Dennis DuVal,1975,1976,G,6-3,175,"March 31, 1952",Syracuse
duckedi01,Dick Duckett,1958,1958,G,6-1,185,"March 25, 1933",St. John's
duckwke01,Kevin Duckworth,1987,1997,C,7-0,275,"April 1, 1964",Eastern Illinois University
dudlech01,Charles Dudley,1973,1979,G,6-2,180,"March 5, 1950",Washington
dudlech02,Chris Dudley,1988,2003,C,6-11,235,"February 22, 1965",Yale
dudleja01,Jared Dudley,2008,2020,F-G,6-6,237,"July 10, 1985",Boston College
duerote01,Terry Duerod,1980,1983,G,6-2,180,"July 29, 1956",Detroit Mercy
duffybo01,Bob Duffy,1947,1947,F,6-4,175,"July 5, 1922",Tulane
duffybo02,Bob Duffy,1963,1965,G,6-3,185,"September 26, 1940",Colgate
duhonch01,Chris Duhon,2005,2013,G,6-1,185,"August 31, 1982",Duke
dukandu01,Duje Dukan,2016,2016,F,6-9,220,"December 4, 1991",Wisconsin
dukeswa01,Walter Dukes,1956,1963,C,7-0,220,"June 23, 1930",Seton Hall
dumarjo01,Joe Dumars*,1986,1999,G,6-3,190,"May 24, 1963",McNeese State University
dumasri01,Rich Dumas,1969,1969,G,6-3,170,"April 21, 1944",Northeastern State University
dumasri02,Richard Dumas,1993,1996,F,6-7,200,"May 19, 1969",Oklahoma State
dumasto01,Tony Dumas,1995,1998,G,6-6,190,"August 25, 1972",Missouri-Kansas City
duncaan01,Andy Duncan,1949,1951,F-C,6-6,195,"April 17, 1922",College of William & Mary
duncati01,Tim Duncan,1998,2016,F-C,6-11,250,"April 25, 1976",Wake Forest
dunlemi01,Mike Dunleavy,1977,1990,G,6-3,180,"March 21, 1954",South Carolina
dunlemi02,Mike Dunleavy,2003,2017,F-G,6-9,230,"September 15, 1980",Duke
dunnkr01,Kris Dunn,2017,2020,G,6-3,205,"March 18, 1994",Providence
dunnpa01,Pat Dunn,1958,1958,G,6-2,170,"March 17, 1931",Utah State University
dunntr01,T.R. Dunn,1978,1991,G-F,6-4,192,"February 1, 1955",Alabama
duprero01,Ronald Dupree,2004,2011,F,6-7,209,"January 26, 1981",LSU
duranke01,Kevin Durant,2008,2019,F-G,6-10,240,"September 29, 1988",Texas
durenjo01,John Duren,1981,1983,G,6-3,195,"October 30, 1958",Georgetown
durhaja01,Jarrett Durham,1972,1972,F,6-5,188,"August 22, 1949",Duquesne
durhapa01,Pat Durham,1993,1995,F,6-7,210,"March 10, 1967",Colorado State
durrade01,Devin Durrant,1985,1986,F,6-7,200,"October 20, 1960",BYU
durreke01,Ken Durrett,1972,1975,F,6-7,190,"December 8, 1948",La Salle
duvaltr01,Trevon Duval,2019,2019,G,6-2,189,"August 3, 1998",Duke
dwanja01,Jack Dwan,1949,1949,F-G,6-4,200,"May 3, 1921",Loyola Chicago
dykemcr01,Craig Dykema,1982,1982,F,6-8,190,"June 11, 1959",Cal State Long Beach
dykerge01,Gene Dyker,1954,1954,F,6-6,225,"February 17, 1930",DePaul
dysonje01,Jerome Dyson,2012,2012,G,6-3,180,"May 1, 1987",UConn
eacklle01,Ledell Eackles,1989,1998,G-F,6-5,220,"November 24, 1966",New Orleans
eakinji01,Jim Eakins,1969,1978,C,6-11,215,"May 24, 1946",BYU
earlac01,Acie Earl,1994,1997,F-C,6-10,240,"June 23, 1970",Iowa
earleed01,Ed Earle,1954,1954,F,6-3,190,"April 28, 1927",Loyola Chicago
earlycl01,Cleanthony Early,2015,2016,F,6-8,210,"April 17, 1991",Wichita State
earlype01,Penny Early,1969,1969,G,5-3,114,"May 30, 1943",
eatonma01,Mark Eaton,1983,1993,C,7-4,275,"January 24, 1957",UCLA
eavesje01,Jerry Eaves,1983,1987,G,6-4,180,"February 8, 1959",Louisville
ebankde01,Devin Ebanks,2011,2013,F,6-9,215,"October 28, 1989",West Virginia
ebbenbi01,Bill Ebben,1958,1958,G,6-4,190,"October 7, 1935",Detroit Mercy
eberhal01,Al Eberhard,1975,1978,F,6-6,225,"May 10, 1952",Missouri
ebind01,Ndudi Ebi,2004,2005,F,6-9,200,"June 18, 1984",
ebronro01,Roy Ebron,1974,1974,C,6-9,220,"August 31, 1951",LA-Lafayette
eddieja01,Jarell Eddie,2016,2018,G-F,6-7,218,"October 30, 1991",Virginia Tech
eddiepa01,Patrick Eddie,1992,1992,C,6-11,240,"December 27, 1967","Arkansas State University, Ole Miss"
eddledi01,Dike Eddleman,1950,1953,F-G,6-3,189,"December 27, 1922",Illinois
edelike01,Kenton Edelin,1985,1985,F,6-8,205,"May 24, 1962",Virginia
edgech01,Charles Edge,1974,1975,F,6-6,210,"February 23, 1950",LeMoyne-Owen College
edmonbo01,Bobby Edmonds,1968,1970,F,6-6,220,"March 8, 1941",Tennessee State
edmonke01,Keith Edmonson,1983,1984,G,6-5,195,"September 28, 1960",Purdue
edneyty01,Tyus Edney,1996,2001,G,5-10,152,"February 14, 1973",UCLA
edwarbi01,Bill Edwards,1994,1994,F,6-8,215,"September 22, 1971",Wright State University
edwarbl01,Blue Edwards,1990,1999,G-F,6-4,200,"October 31, 1965",East Carolina University
edwarca01,Carsen Edwards,2020,2020,G,5-11,200,"March 12, 1998",Purdue
edwarco01,Corsley Edwards,2005,2005,F,6-9,275,"March 5, 1979",Central Connecticut State University
edwardo01,Doug Edwards,1994,1996,F,6-7,220,"January 21, 1971",Florida State
edwarfr01,Franklin Edwards,1982,1988,G,6-1,170,"February 2, 1959",Cleveland State University
edwarja01,James Edwards,1978,1996,C-F,7-0,225,"November 22, 1955",Washington
edwarja02,Jay Edwards,1990,1990,G,6-4,185,"January 3, 1969",Indiana
edwarjo01,John Edwards,2005,2006,C,7-0,275,"July 31, 1981",Kent State University
edwarke01,Kevin Edwards,1989,2001,G,6-3,190,"October 30, 1965",DePaul
edwarsh01,Shane Edwards,2014,2014,F,6-7,220,"May 31, 1987",Little Rock
edwarvi01,Vince Edwards,2019,2019,F,6-8,225,"April 5, 1996",Purdue
eganjo01,Johnny Egan,1962,1972,G,5-11,180,"January 31, 1939",Providence
egglelo01,Lonnie Eggleston,1949,1949,G,6-0,170,"June 8, 1918",Oklahoma State
ehlerbu01,Bulbs Ehlers,1948,1949,F-G,6-3,198,"March 10, 1923",Purdue
ehlocr01,Craig Ehlo,1984,1997,G-F,6-6,180,"August 11, 1961",Washington State
eichhdi01,Rich Eichhorst,1962,1962,G,6-3,200,"October 21, 1933",SE Missouri State
eisleho01,Howard Eisley,1995,2006,G,6-2,177,"December 4, 1972",Boston College
ekeziob01,Obinna Ekezie,2000,2005,F-C,6-9,270,"August 22, 1975",Maryland
elamikh01,Khalid El-Amin,2001,2001,G,5-10,200,"April 25, 1979",UConn
eliasdo01,Don Eliason,1947,1947,F,6-2,210,"July 24, 1918",Hamline University
eliema01,Mario Elie,1991,2001,G-F,6-5,210,"November 26, 1963",American International College
ellefra01,Ray Ellefson,1949,1951,C,6-8,230,"November 18, 1922",West Texas A&M University
ellenhe01,Henry Ellenson,2017,2020,F,6-10,240,"January 13, 1997",Marquette
ellinwa01,Wayne Ellington,2010,2020,G,6-4,200,"November 29, 1987",UNC
elliobo01,Bob Elliott,1979,1981,C-F,6-9,225,"August 18, 1955",Arizona
elliose01,Sean Elliott,1990,2001,F,6-8,205,"February 2, 1968",Arizona
ellisbo02,Bo Ellis,1978,1980,F,6-9,197,"August 8, 1954",Marquette
ellisbo01,Boo Ellis,1959,1960,F,6-5,185,"February 11, 1936",Niagara University
ellisda01,Dale Ellis,1984,2000,G-F,6-7,205,"August 6, 1960",Tennessee
ellisha01,Harold Ellis,1994,1998,G,6-5,200,"October 7, 1970",Morehouse College
ellisjo01,Joe Ellis,1967,1974,F-G,6-6,175,"May 3, 1944",San Francisco
ellisla01,LaPhonso Ellis,1993,2003,F,6-8,240,"May 5, 1970",Notre Dame
ellisle02,LeRon Ellis,1992,1996,F-C,6-9,225,"April 28, 1969","Kentucky, Syracuse"
ellisle01,Leroy Ellis,1963,1976,C-F,6-10,210,"March 10, 1940",St. John's
ellismo01,Monta Ellis,2006,2017,G,6-3,185,"October 26, 1985",
ellispe01,Pervis Ellison,1990,2001,F-C,6-9,210,"April 3, 1967",Louisville
elmorle01,Len Elmore,1975,1984,C-F,6-9,220,"March 28, 1952",Maryland
elsonfr01,Francisco Elson,2004,2012,C,7-0,235,"February 28, 1976",California
elstoda01,Darrell Elston,1975,1977,G,6-4,190,"August 15, 1952",UNC
elyme01,Melvin Ely,2003,2014,C,6-10,260,"May 2, 1978",Fresno State
embiijo01,Joel Embiid,2017,2020,C,7-0,250,"March 16, 1994",Kansas
embrywa01,Wayne Embry*,1959,1969,C-F,6-8,240,"March 26, 1937",Miami University
emmetan01,Andre Emmett,2005,2012,F,6-5,230,"August 27, 1982",Texas Tech
endrene01,Ned Endress,1947,1947,F-G,6-2,200,"March 2, 1918",University of Akron
englech01,Chris Engler,1983,1988,C,6-11,245,"March 1, 1959","Minnesota, Wyoming"
englewa01,Wayne Englestad,1989,1989,F,6-8,245,"December 6, 1966","University of California, Irvine"
engliaj01,A.J. English,1991,1992,G,6-3,175,"July 11, 1967",Virginia Union University
englial01,Alex English*,1977,1991,F,6-7,190,"January 5, 1954",South Carolina
englicl01,Claude English,1971,1971,F,6-4,185,"December 26, 1946",Rhode Island
englijo01,Jo Jo English,1993,1995,G,6-4,195,"February 4, 1970",South Carolina
engliki01,Kim English,2013,2013,G,6-6,200,"September 24, 1988",Missouri
englisc01,Scott English,1973,1975,F,6-6,205,"October 20, 1950",Texas-El Paso
engluge01,Gene Englund,1950,1950,F-C,6-5,205,"October 21, 1917",Wisconsin
ennisja01,James Ennis,2015,2020,F,6-6,210,"July 1, 1990",Cal State Long Beach
ennisty01,Tyler Ennis,2015,2018,G,6-3,194,"August 24, 1994",Syracuse
eppsra01,Ray Epps,1979,1979,F,6-6,195,"August 20, 1956",Norfolk State
erdense01,Semih Erden,2011,2012,C,7-0,240,"July 28, 1986",
eriasbo01,Bo Erias,1958,1958,F,6-3,220,"July 30, 1932",Niagara University
erickke01,Keith Erickson,1966,1977,F-G,6-5,195,"April 19, 1944",UCLA
ervinju01,Julius Erving*,1972,1987,F-G,6-7,210,"February 22, 1950",UMass
eschmev01,Evan Eschmeyer,2000,2003,C,6-11,255,"May 30, 1975",Northwestern
eskrija01,Jack Eskridge,1949,1949,C-F,6-5,200,"January 21, 1924",Kansas
esposvi01,Vincenzo Esposito,1996,1996,G,6-3,198,"March 1, 1969",
eubandr01,Drew Eubanks,2019,2020,F,6-9,245,"February 1, 1997",Oregon State
evansbi01,Billy Evans,1970,1970,G,6-0,170,"March 3, 1947",Boston College
evansbo01,Bob Evans,1950,1950,G,6-2,175,"May 31, 1925",Butler
evansbr01,Brian Evans,1997,1999,F,6-8,220,"September 13, 1973",Indiana
evansea01,Earl Evans,1980,1980,F,6-8,202,"November 11, 1955","USC, UNLV"
evansja02,Jacob Evans,2019,2020,G-F,6-4,210,"June 18, 1997",Cincinnati
evansja01,Jawun Evans,2018,2019,G,6-0,185,"July 26, 1996",Oklahoma State
evansje01,Jeremy Evans,2011,2018,F,6-9,200,"October 24, 1987",Western Kentucky
evansma01,Maurice Evans,2002,2012,G,6-5,220,"November 8, 1978","Wichita State, Texas"
evansmi01,Mike Evans,1980,1988,G,6-1,170,"April 19, 1955",Kansas State
evansre01,Reggie Evans,2003,2015,F,6-8,245,"May 18, 1980",Iowa
evansty01,Tyreke Evans,2010,2019,G-F,6-6,220,"September 19, 1989",Memphis
ewingda01,Daniel Ewing,2006,2007,G,6-3,185,"March 26, 1983",Duke
ewingpa01,Patrick Ewing*,1986,2002,C-F,7-0,240,"August 5, 1962",Georgetown
ewingpa02,Patrick Ewing,2011,2011,F,6-8,235,"May 20, 1984","Indiana, Georgetown"
exumda01,Dante Exum,2015,2020,G,6-5,190,"July 13, 1995",
eyengch01,Christian Eyenga,2011,2012,F,6-5,210,"June 22, 1989",
ezelife01,Festus Ezeli,2013,2016,C,6-11,255,"October 21, 1989",Vanderbilt
ezersjo01,Johnny Ezersky,1948,1950,F-G,6-3,175,"March 21, 1922",Rhode Island
fabeljo01,Joe Fabel,1947,1947,F-G,6-1,190,"May 15, 1917",Pitt
faircjo01,John Fairchild,1966,1970,F,6-8,205,"April 28, 1943",BYU
fallta01,Tacko Fall,2020,2020,C,7-5,311,"December 10, 1995",Central Florida
farbmph01,Phil Farbman,1949,1949,F,6-1,185,"April 3, 1924",City College of New York
farieke01,Kenneth Faried,2012,2019,F,6-8,220,"November 19, 1989",Morehead State University
farledi01,Dick Farley,1955,1959,G-F,6-4,190,"April 13, 1932",Indiana
farmajo01,Jordan Farmar,2007,2017,G,6-2,180,"November 30, 1986",UCLA
farmede01,Desmon Farmer,2007,2009,G,6-5,220,"October 7, 1981",USC
farmeji01,Jim Farmer,1988,1994,G,6-4,190,"September 23, 1964",Alabama
farmemi01,Mike Farmer,1959,1966,F,6-7,210,"September 26, 1936",San Francisco
farmeto01,Tony Farmer,1998,2000,F,6-9,244,"January 3, 1970","San Jose State, Nebraska"
faughbo01,Bob Faught,1947,1947,F,6-5,185,"September 2, 1921",Notre Dame
favervi01,Vítor Faverani,2014,2014,C,6-11,260,"May 5, 1988",
favorde01,Derrick Favors,2011,2020,F-C,6-9,265,"July 15, 1991",Georgia Tech
fazekni01,Nick Fazekas,2008,2008,F,6-11,235,"June 17, 1985",Nevada
fedorda01,Dave Fedor,1963,1963,F,6-6,190,"December 10, 1940",Florida State
feeribo01,Bob Feerick,1947,1950,F-G,6-3,190,"January 2, 1920",Santa Clara
feherbu01,Butch Feher,1977,1977,G,6-4,185,"May 19, 1954",Vanderbilt
feickja01,Jamie Feick,1997,2001,C,6-9,255,"July 3, 1974",Michigan State
feierro01,Ron Feiereisel,1956,1956,G,6-3,185,"August 6, 1931",DePaul
feigege01,George Feigenbaum,1950,1953,G,6-1,185,"July 2, 1928",Kentucky
feitlda01,Dave Feitl,1987,1992,C,6-11,235,"June 8, 1962",Texas-El Paso
feldeka01,Kay Felder,2017,2018,G,5-9,176,"March 29, 1995",Oakland
feliccr01,Cristiano Felício,2016,2020,F-C,6-10,270,"July 7, 1992",
felixca01,Carrick Felix,2014,2014,G,6-6,201,"August 17, 1990",Arizona State
felixno01,Noel Felix,2006,2006,F,6-9,225,"October 4, 1981",Fresno State
felixra01,Ray Felix,1954,1962,C,6-11,220,"December 10, 1930",Long Island University
feltora01,Raymond Felton,2006,2019,G,6-1,205,"June 26, 1984",UNC
fendlja01,Jake Fendley,1952,1953,G,6-0,180,"June 12, 1929",Northwestern
fenlewa01,Warren Fenley,1947,1947,F,6-3,190,"February 8, 1922",Manhattan College
fergude01,Desmond Ferguson,2004,2004,G-F,6-7,203,"July 22, 1977","Missouri, Detroit Mercy"
fergute01,Terrance Ferguson,2018,2020,G-F,6-6,190,"May 17, 1998",
fernaru01,Rudy Fernández,2009,2012,G,6-6,185,"April 4, 1985",
fernabr01,Bruno Fernando,2020,2020,F,6-9,233,"August 15, 1998",Maryland
fernser01,Eric Fernsten,1976,1984,C-F,6-10,205,"November 1, 1953",San Francisco
ferraal01,Al Ferrari,1956,1963,G-F,6-4,190,"July 6, 1933",Michigan State
ferrero01,Rolando Ferreira,1989,1989,C,7-1,240,"May 24, 1964",Houston
ferredu01,Duane Ferrell,1989,1999,F-G,6-7,209,"February 28, 1965",Georgia Tech
ferreyo01,Yogi Ferrell,2017,2020,G,6-0,180,"May 9, 1993",Indiana
ferriar01,Arnie Ferrin,1949,1951,F-G,6-2,180,"July 29, 1925",Utah
ferrybo01,Bob Ferry,1960,1969,C-F,6-8,230,"May 31, 1937",Saint Louis
ferryda01,Danny Ferry,1991,2003,F,6-10,230,"October 17, 1966",Duke
fesenky01,Kyrylo Fesenko,2008,2012,C,7-1,288,"December 24, 1986",
fieldbo01,Bobby Fields,1972,1972,G,6-3,175,"October 20, 1949",La Salle
fieldke01,Kenny Fields,1985,1988,F-G,6-5,220,"February 9, 1962",UCLA
fieldla01,Landry Fields,2011,2015,F,6-7,210,"June 27, 1988",Stanford
filipro01,Ron Filipek,1968,1968,F,6-5,205,"February 5, 1944",Tennessee Technological University
fillmgr01,Greg Fillmore,1971,1972,C,7-1,240,"March 7, 1947",Cheyney University of Pennsylvania
finchla01,Larry Finch,1974,1975,G,6-2,185,"February 16, 1951",Memphis
finkeha01,Hank Finkel,1967,1975,C,7-0,240,"April 20, 1942",Dayton
finlemi01,Michael Finley,1996,2010,G-F,6-7,215,"March 6, 1973",Wisconsin
finnda01,Danny Finn,1953,1955,G,6-1,185,"May 29, 1928",St. John's
finnedo01,Dorian Finney-Smith,2017,2020,F,6-7,220,"May 4, 1993",Florida
fishma01,Matt Fish,1995,1997,C,6-11,235,"November 18, 1969",UNC Wilmington
fishede01,Derek Fisher,1997,2014,G,6-1,200,"August 9, 1974",Little Rock
fisheri01,Richard Fisher,1972,1972,F,6-5,215,"October 27, 1948",Colorado State
fitchge01,Gerald Fitch,2006,2006,G,6-3,188,"August 12, 1982",Kentucky
fitzgbo01,Bob Fitzgerald,1947,1949,F-C,6-5,190,"March 14, 1923",Seton Hall
fitzgdi01,Dick Fitzgerald,1947,1948,F,6-2,175,"November 18, 1920",Fordham
fizerma01,Marcus Fizer,2001,2006,F,6-9,262,"August 10, 1978",Iowa State
fleisje01,Jerry Fleishman,1947,1953,G-F,6-2,190,"February 14, 1922",NYU
flemial01,Al Fleming,1978,1978,F,6-7,215,"April 5, 1954",Arizona
flemied01,Ed Fleming,1956,1960,G-F,6-3,189,"July 25, 1933",Niagara University
flemive01,Vern Fleming,1985,1996,G,6-5,185,"February 4, 1962",Georgia
florelu01,Luis Flores,2005,2005,G,6-2,200,"April 11, 1981","Rutgers University, Manhattan College"
flowebr01,Bruce Flowers,1983,1983,F,6-8,225,"June 13, 1957",Notre Dame
floydsl01,Sleepy Floyd,1983,1995,G,6-3,170,"March 6, 1960",Georgetown
flynnjo01,Jonny Flynn,2010,2012,G,6-0,185,"February 6, 1989",Syracuse
flynnmi01,Mike Flynn,1976,1978,G,6-2,180,"July 31, 1953",Kentucky
foglela01,Larry Fogle,1976,1976,G,6-5,205,"March 19, 1953",Canisius
foleyja01,Jack Foley,1963,1963,F,6-3,170,"April 19, 1939",Holy Cross
fontais01,Isaac Fontaine,2002,2002,G,6-4,210,"April 16, 1975",Washington State
fontale01,Levi Fontaine,1971,1971,G,6-4,190,"November 1, 1948",University of Maryland Eastern Shore
footeje01,Jeff Foote,2012,2012,C,7-0,265,"July 14, 1987",Cornell
forbebr01,Bryn Forbes,2017,2020,G,6-2,190,"July 23, 1993",Michigan State
forbega01,Gary Forbes,2011,2012,F,6-7,220,"February 25, 1985","Virginia, UMass"
fordal01,Alphonso Ford,1994,1995,G,6-1,190,"October 31, 1971",Mississippi Valley State University
fordal02,Alton Ford,2002,2004,F,6-9,275,"May 29, 1981",Houston
fordbo01,Bob Ford,1973,1973,F,6-7,228,"January 26, 1950",Purdue
fordch01,Chris Ford,1973,1982,G-F,6-5,190,"January 11, 1949",Villanova
forddo01,Don Ford,1976,1982,F,6-9,215,"December 31, 1952","New Mexico, UC Santa Barbara"
fordja01,Jake Ford,1971,1972,G,6-3,180,"April 29, 1946",University of Maryland Eastern Shore
fordph01,Phil Ford,1979,1985,G,6-2,175,"February 9, 1956",UNC
fordsh02,Sharrod Ford,2006,2006,F,6-9,225,"January 9, 1982",Clemson
fordsh01,Sherell Ford,1996,1996,F,6-7,210,"August 26, 1972",University of Illinois at Chicago
fordtj01,T.J. Ford,2004,2012,G,6-0,165,"March 24, 1983",Texas
formado01,Donnie Forman,1949,1949,G,5-10,175,"January 17, 1926",NYU
forreba01,Bayard Forrest,1978,1979,C,6-10,235,"July 8, 1954",Grand Canyon University
fortejo01,Joseph Forte,2002,2003,G,6-4,194,"March 23, 1981",UNC
fortsco01,Courtney Fortson,2012,2012,G,5-11,185,"May 23, 1988",Arkansas
fortsda01,Danny Fortson,1998,2007,F,6-7,260,"March 27, 1976",Cincinnati
fostefr01,Fred Foster,1969,1977,F,6-5,210,"March 18, 1946",Miami University
fostegr01,Greg Foster,1991,2003,F-C,6-11,240,"October 3, 1968","UCLA, Texas-El Paso"
fosteje01,Jeff Foster,2000,2012,F-C,6-11,236,"January 16, 1977",Texas State University
fosteja01,Jimmy Foster,1975,1976,G,6-1,175,"December 16, 1951",UConn
fostero01,Rod Foster,1984,1986,G,6-1,160,"October 10, 1960",UCLA
fotsian01,Antonis Fotsis,2002,2002,F,6-10,219,"April 1, 1981",
fournev01,Evan Fournier,2013,2020,G-F,6-7,205,"October 29, 1992",
foustla01,Larry Foust,1951,1962,C-F,6-9,215,"June 24, 1928",La Salle
fowleca01,Calvin Fowler,1970,1970,G,6-0,175,"February 11, 1940",Saint Francis University
fowleje01,Jerry Fowler,1952,1952,C,6-8,230,"June 20, 1927",Missouri
